source,target,weight
Courtney Graham,Janie Anderson,0.30353546
Sara Griffin,Lakeisha New,0.48966295
Roy Cross,Ethel Long,0.50520045
Tanika South,Idell Collado,0.14273134
Nancy Watson,Lynette Vega,0.1980185
Pat Roberson,Deandre Lacey,0.36951655
Julia Hall,Julie Henderson,0.44329274
Ramona Newman,Britta Shannon,0.46510512
Brett Webster,Maris Hayden,0.34069932
Angela Garcia,Lori King,0.011605896
Al Bailey,Hsiu Alcorn,0.2832865
Richard Hernandez,Xochitl Runyon,0.3526311
Ann Cook,Gerard Clark,0.3245051
Minnie Munoz,Pat Marshall,0.3996066
Martha Kelly,Arthur Turner,0.3783155
Brenda Jackson,Lorene Casey,0.16299546
Geri Minor,Idell Collado,0.4686771
Lisa Ramirez,Zena Whitehead,0.2860585
Glenda Myers,Christin Patino,0.28510547
Beverly Taylor,Julia Cummings,0.44712526
Matthew Price,Whitney Simon,0.48288077
Henry Campbell,Timmy Garner,0.4222052
Fred Hill,Anne Nash,0.38447857
Pete Perez,Branda Moon,0.4940881
John Diaz,Bethany Underwood,0.46911436
Jack Hughes,Angelica Blake,0.5623213
Benny Terry,Al Bailey,0.5817393
Krystle Hardin,Kerrie Croft,0.26592553
Joe White,Demetrius Forbes,0.48301357
Jeffrey Clark,Jennifer Brown,0.19744776
Shawn Harris,Joe Alexander,0.40509814
Rita Sherman,Juanita Mathis,0.5294956
Craig Brooks,Stuart Dixon,0.32587606
Kathrin Himes,Ping Curtin,0.36498898
Doyle Morales,Delia Townsend,0.3223803
Octavio Mclendon,Taina Tubbs,0.28205544
Ralph Bailey,Luke Sharp,0.30066454
Agnes Thomas,Vivian Kelley,0.5058039
Delia Townsend,Suzanne Simon,0.3153181
Kelley Martinez,Lana Paul,0.42270225
Julie Henderson,Nicole Kelly,0.51970106
Phillip Russell,Ramona Fowler,0.37166637
Claire Hardy,Myra Mcdaniel,0.3780508
Ervin Mccormick,Ollie Ball,0.3208055
Stephen Lee,Gladys Nunez,0.32756215
Rose Smith,Patrick Kim,0.41204697
Judy Clark,Whitney Simon,0.53428674
Gregory Wright,Clifford Porter,0.21086521
Allison Jennings,Allan Sullivan,0.20611726
Doris Hamilton,Jean Cannon,0.31441355
Louis Campbell,Mark Harris,0.123474464
Willie Young,Lori Watkins,0.4070071
Lady Mccaskill,Jerrell Mcmurray,0.5674598
Marcos Guzman,Corina Towns,0.44295996
Marty Rivera,Edelmira Tillman,0.533982
Virginia Holt,Lucy Walsh,0.78754026
Ann Cook,Saul Crawford,0.3795631
Wm Ballard,Anita Barton,0.34871924
Philip Torres,Lana Mack,0.28315622
Tiffany Arnold,Dave Lawrence,0.49730432
Brenda Patterson,Thad Judd,0.5685844
Mary Williams,Miguel Klein,0.7063597
Donna Powell,Myra Mcdaniel,0.49089772
Abraham Daniels,Lynne Rice,0.26201338
Brenda Gonzalez,Toni Simon,0.69883597
Ralph Cook,Rodney Burke,0.699533
Charissa Mcgowan,Katrice Strunk,0.37324148
Carl Ramirez,Sara Griffin,0.5864295
Mary Martin,Tina Gross,0.426076
Howard Young,Tammy Robinson,0.20654534
Kevin Morgan,Caroline Davis,0.3843267
Juan Santos,Hattie May,0.5091577
Kathy Potter,Tamara Perkins,0.46924865
Robert Casey,Teresita Bruton,0.35089654
Catherine Foster,Kathy Reed,0.36129564
Lynn Elliott,Nakia Arreola,0.44427913
Wayne Walker,Lori Anderson,0.39361846
Ronald Mason,Jasmine Chapman,0.4352191
Heather Bell,Lynette Hall,0.7671336
Kevin Morgan,Nancy Morris,0.16248952
Kathleen Roberts,Lisa Ramirez,0.8273324
Brittny Fanning,Obdulia Salter,0.3270421
Eva Chavez,Wendell Wilkins,0.30635577
Eunice Becker,Angelica Blake,0.3893277
Kristin Rice,Miguel Klein,0.41651416
Minnie Hodges,Carol Lowery,0.42213094
Jessica Miller,Steven Coleman,0.15176938
Alan Green,Pam Guzman,0.39223945
